,field_1,LocationID,Borough,Zone,service_zone,geometry
0,0,1,EWR,Newark Airport,EWR,"POLYGON ((-74.1778636 40.6874837, -74.17586359999999 40.6874837, -74.17586359999999 40.6894837, -74.1778636 40.6894837, -74.1778636 40.6874837))"
1,1,2,Queens,Jamaica Bay,Boro Zone,"POLYGON ((-73.95350119999999 40.5567799, -73.711586 40.5567799, -73.711586 40.6640674, -73.95350119999999 40.6640674, -73.95350119999999 40.5567799))"
2,2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,"POLYGON ((-73.85659509999999 40.8560789, -73.82680309999999 40.8560789, -73.82680309999999 40.8716631, -73.85659509999999 40.8716631, -73.85659509999999 40.8560789))"
3,3,4,Manhattan,Alphabet City,Yellow Zone,"POLYGON ((-73.98632169999999 40.7198839, -73.9737904 40.7198839, -73.9737904 40.73047830000001, -73.98632169999999 40.73047830000001, -73.98632169999999 40.7198839))"
4,4,5,Staten Island,Arden Heights,Boro Zone,"POLYGON ((-74.1994792 40.5406311, -74.1652654 40.5406311, -74.1652654 40.5670014, -74.1994792 40.5670014, -74.1994792 40.5406311))"
5,5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"POLYGON ((-4.7554624 56.1919949, -4.7396397 56.1919949, -4.7396397 56.2130885, -4.7554624 56.2130885, -4.7554624 56.1919949))"
6,6,7,Queens,Astoria,Boro Zone,"POLYGON ((-123.8742851 46.170013, -123.739344 46.170013, -123.739344 46.214976, -123.8742851 46.214976, -123.8742851 46.170013))"
7,7,8,Queens,Astoria Park,Boro Zone,"POLYGON ((-73.9238336 40.7775364, -73.92183359999999 40.7775364, -73.92183359999999 40.7795364, -73.9238336 40.7795364, -73.9238336 40.7775364))"
8,8,9,Queens,Auburndale,Boro Zone,"POLYGON ((-81.84615409999999 28.0258361, -81.7534349 28.0258361, -81.7534349 28.1864971, -81.84615409999999 28.1864971, -81.84615409999999 28.0258361))"
9,9,10,Queens,Baisley Park,Boro Zone,"POLYGON ((-73.787025 40.6727751, -73.78502499999999 40.6727751, -73.78502499999999 40.6747751, -73.787025 40.6747751, -73.787025 40.6727751))"
10,10,11,Brooklyn,Bath Beach,Boro Zone,"POLYGON ((-74.02004710000001 40.594391, -73.9938083 40.594391, -73.9938083 40.612493, -74.02004710000001 40.612493, -74.02004710000001 40.594391))"
11,11,12,Manhattan,Battery Park,Yellow Zone,"POLYGON ((-74.0193666 40.7045626, -74.0128113 40.7045626, -74.0128113 40.7186805, -74.0193666 40.7186805, -74.0193666 40.7045626))"
12,12,13,Manhattan,Battery Park City,Yellow Zone,"POLYGON ((-74.0193666 40.7045626, -74.0128113 40.7045626, -74.0128113 40.7186805, -74.0193666 40.7186805, -74.0193666 40.7045626))"
13,13,14,Brooklyn,Bay Ridge,Boro Zone,"POLYGON ((-74.04189339999999 40.6184154, -74.0146161 40.6184154, -74.0146161 40.644948, -74.04189339999999 40.644948, -74.04189339999999 40.6184154))"
14,14,15,Queens,Bay Terrace/Fort Totten,Boro Zone,"POLYGON ((-73.79160929999999 40.7734082, -73.7700874 40.7734082, -73.7700874 40.7904033, -73.79160929999999 40.7904033, -73.79160929999999 40.7734082))"
15,15,16,Queens,Bayside,Boro Zone,"POLYGON ((144.9833835 -37.9964434, 145.055197 -37.9964434, 145.055197 -37.8832737, 144.9833835 -37.8832737, 144.9833835 -37.9964434))"
16,16,17,Brooklyn,Bedford,Boro Zone,"POLYGON ((-0.5000095 52.1137824, -0.402987 52.1137824, -0.402987 52.1644022, -0.5000095 52.1644022, -0.5000095 52.1137824))"
17,17,18,Bronx,Bedford Park,Boro Zone,"POLYGON ((-87.854154 41.748209, -87.7415989 41.748209, -87.7415989 41.785131, -87.854154 41.785131, -87.854154 41.748209))"
18,19,20,Bronx,Belmont,Boro Zone,"POLYGON ((-86.7951702 36.131908100000004, -86.79317019999999 36.131908100000004, -86.79317019999999 36.1339081, -86.7951702 36.1339081, -86.7951702 36.131908100000004))"
